Count No.,Actual Angle (deg),VA (V),VB (V),State AB,FPGA Count,theta_interp_x10,Measured Angle (deg),base_theta_x10,T_period (cycles),T_phase (cycles),Quant Error (deg),Latency Error (deg),Mech Error (deg),Total Error (deg)
1,0.00,0.0,0.0,00,-800,3599,359.10,3591,500,575,359.100000,0.010800,0.000000,359.110800
2,0.45,3.3,0.0,10,-801,7,0.00,0,583,492,-0.450000,0.010800,0.036926,-0.402274
3,0.90,3.3,3.3,11,-802,17,0.90,9,500,492,0.000000,0.010800,0.053141,0.063941
4,1.35,0.0,3.3,01,-803,26,1.80,18,500,492,0.450000,0.010800,0.040067,0.500867
5,1.80,0.0,0.0,00,-804,35,2.70,27,500,492,0.900000,0.010800,0.006282,0.917082
6,2.25,3.3,0.0,10,-805,44,3.60,36,500,492,1.350000,0.010800,-0.027503,1.333297
7,2.70,3.3,3.3,11,-806,53,4.50,45,500,492,1.800000,0.010800,-0.040579,1.770221
8,3.15,0.0,3.3,01,-807,62,5.40,54,500,492,2.250000,0.010800,-0.024365,2.236435
9,3.60,0.0,0.0,00,-808,71,6.30,63,500,492,2.700000,0.010800,0.012558,2.723358
10,4.05,3.3,0.0,10,-809,80,7.20,72,500,492,3.150000,0.010800,0.049481,3.210281
11,4.50,3.3,3.3,11,-810,89,8.10,81,500,492,3.600000,0.010800,0.065692,3.676492
12,4.95,0.0,3.3,01,-811,98,9.00,90,500,492,4.050000,0.010800,0.052613,4.113413
13,5.40,0.0,0.0,00,-812,107,9.90,99,500,492,4.500000,0.010800,0.018822,4.529622
14,5.85,3.3,0.0,10,-813,116,10.80,108,500,492,4.950000,0.010800,-0.014970,4.945830
15,6.30,3.3,3.3,11,-814,125,11.70,117,500,492,5.400000,0.010800,-0.028053,5.382747
16,6.75,0.0,3.3,01,-815,134,12.60,126,500,492,5.850000,0.010800,-0.011848,5.848952
17,7.20,0.0,0.0,00,-816,143,13.50,135,500,492,6.300000,0.010800,0.025067,6.335867
18,7.65,3.3,0.0,10,-817,152,14.40,144,500,492,6.750000,0.010800,0.061980,6.822780
19,8.10,3.3,3.3,11,-818,161,15.30,153,500,492,7.200000,0.010800,0.078180,7.288980
20,8.55,0.0,3.3,01,-819,170,16.20,162,500,492,7.650000,0.010800,0.065090,7.725890
21,9.00,0.0,0.0,00,-820,179,17.10,171,500,492,8.100000,0.010800,0.031287,8.142087
22,9.45,3.3,0.0,10,-821,188,18.00,180,500,492,8.550000,0.010800,-0.002518,8.558282
23,9.90,3.3,3.3,11,-822,197,18.90,189,500,492,9.000000,0.010800,-0.015614,8.995186
24,10.35,0.0,3.3,01,-823,206,19.80,198,500,492,9.450000,0.010800,0.000577,9.461377
25,10.80,0.0,0.0,00,-824,215,20.70,207,500,492,9.900000,0.010800,0.037476,9.948276
26,11.25,3.3,0.0,10,-825,224,21.60,216,500,492,10.350000,0.010800,0.074373,10.435173
27,11.70,3.3,3.3,11,-826,233,22.50,225,500,492,10.800000,0.010800,0.090557,10.901357
28,12.15,0.0,3.3,01,-827,242,23.40,234,500,492,11.250000,0.010800,0.077450,11.338250
29,12.60,0.0,0.0,00,-828,251,24.30,243,500,492,11.700000,0.010800,0.043629,11.754429
30,13.05,3.3,0.0,10,-829,260,25.20,252,500,492,12.150000,0.010800,0.009805,12.170605
31,13.50,3.3,3.3,11,-830,269,26.10,261,500,492,12.600000,0.010800,-0.003311,12.607489
32,13.95,0.0,3.3,01,-831,278,27.00,270,500,492,13.050000,0.010800,0.012860,13.073660
33,14.40,0.0,0.0,00,-832,287,27.90,279,500,492,13.500000,0.010800,0.049738,13.560538
34,14.85,3.3,0.0,10,-833,296,28.80,288,500,492,13.950000,0.010800,0.086613,14.047413
35,15.30,3.3,3.3,11,-834,305,29.70,297,500,492,14.400000,0.010800,0.102775,14.513575
36,15.75,0.0,3.3,01,-835,314,30.60,306,500,492,14.850000,0.010800,0.089643,14.950443
37,16.20,0.0,0.0,00,-836,323,31.50,315,500,492,15.300000,0.010800,0.055798,15.366598
38,16.65,3.3,0.0,10,-837,332,32.40,324,500,492,15.750000,0.010800,0.021950,15.782750
39,17.10,3.3,3.3,11,-838,341,33.30,333,500,492,16.200000,0.010800,0.008808,16.219608
40,17.55,0.0,3.3,01,-839,350,34.20,342,500,492,16.650000,0.010800,0.024952,16.685752
41,18.00,0.0,0.0,00,-840,359,35.10,351,500,492,17.100000,0.010800,0.061803,17.172603
42,18.45,3.3,0.0,10,-841,368,36.00,360,500,492,17.550000,0.010800,0.098651,17.659451
43,18.90,3.3,3.3,11,-842,377,36.90,369,500,492,18.000000,0.010800,0.114783,18.125583
44,19.35,0.0,3.3,01,-843,386,37.80,378,500,492,18.450000,0.010800,0.101623,18.562423
45,19.80,0.0,0.0,00,-844,395,38.70,387,500,492,18.900000,0.010800,0.067748,18.978548
46,20.25,3.3,0.0,10,-845,404,39.60,396,500,492,19.350000,0.010800,0.033868,19.394668
47,20.70,3.3,3.3,11,-846,413,40.50,405,500,492,19.800000,0.010800,0.020695,19.831495
48,21.15,0.0,3.3,01,-847,422,41.40,414,500,492,20.250000,0.010800,0.036807,20.297607
49,21.60,0.0,0.0,00,-848,431,42.30,423,500,492,20.700000,0.010800,0.073625,20.784425
50,22.05,3.3,0.0,10,-849,440,43.20,432,500,492,21.150000,0.010800,0.110438,21.271238
51,22.50,3.3,3.3,11,-850,449,44.10,441,500,492,21.600000,0.010800,0.126537,21.737337
52,22.95,0.0,3.3,01,-851,458,45.00,450,500,492,22.050000,0.010800,0.113341,22.174141
53,23.40,0.0,0.0,00,-852,467,45.90,459,500,492,22.500000,0.010800,0.079430,22.590230
54,23.85,3.3,0.0,10,-853,476,46.80,468,500,492,22.950000,0.010800,0.045513,23.006313
55,24.30,3.3,3.3,11,-854,485,47.70,477,500,492,23.400000,0.010800,0.032303,23.443103
56,24.75,0.0,3.3,01,-855,494,48.60,486,500,492,23.850000,0.010800,0.048377,23.909177
57,25.20,0.0,0.0,00,-856,503,49.50,495,500,492,24.300000,0.010800,0.085156,24.395956
58,25.65,3.3,0.0,10,-857,512,50.40,504,500,492,24.750000,0.010800,0.121930,24.882730
